Motor count, pos radians, vel est, accel est, U of t, raw adc, amplified adc
0, 0, 0, 0, 5000, 1, 1
0, 0, 0, 0, 5000, 2, 3
0, 0, 0, 0, 5000, 14, 101
0, 0, 0, 0, 5000, 34, 185
0, 0, 0, 0, 5000, 49, 242
0, 0, 0, 0, 5000, 64, 281
0, 0, 0, 0, 5000, 86, 327
0, 0, 0, 0, 5000, 97, 367
0, 0, 0, 0, 5000, 100, 386
0, 0, 0, 0, 5000, 102, 418
0, 0, 0, 0, 5000, 104, 439
0, 0, 0, 0, 5000, 108, 440
0, 0, 0, 0, 5000, 113, 439
0, 0, 0, 0, 5000, 114, 443
0, 0, 0, 0, 5000, 112, 449
0, 0, 0, 0, 5000, 110, 455
0, 0, 0, 0, 5000, 108, 460
0, 0, 0, 0, 5000, 110, 428
0, 0, 0, 0, 5000, 112, 449
0, 0, 0, 0, 5000, 113, 445
0, 0, 0, 0, 5000, 113, 443
0, 0, 0, 0, 5000, 111, 448
0, 0, 0, 0, 5000, 110, 456
0, 0, 0, 0, 5000, 109, 457
0, 0, 0, 0, 5000, 109, 461
0, 0, 0, 0, 5000, 111, 454
0, 0, 0, 0, 5000, 112, 447
0, 0, 0, 0, 5000, 113, 444
0, 0, 0, 0, 5000, 112, 443
0, 0, 0, 0, 5000, 111, 446
0, 0, 0, 0, 5000, 108, 451
0, 0, 0, 0, 5000, 107, 454
0, 0, 0, 0, 5000, 107, 451
0, 0, 0, 0, 5000, 108, 449
0, 0, 0, 0, 5000, 109, 432
0, 0, 0, 0, 5000, 109, 427
0, 0, 0, 0, 5000, 108, 423
0, 0, 0, 0, 5000, 104, 432
0, 0, 0, 0, 5000, 103, 428
0, 0, 0, 0, 5000, 102, 432
0, 0, 0, 0, 5000, 96, 415
0, 0, 0, 0, 5000, 98, 404
0, 0, 0, 0, 5000, 98, 390
0, 0, 0, 0, 5000, 97, 380
0, 0, 0, 0, 5000, 97, 369
0, 0, 0, 0, 5000, 95, 376
0, 0, 0, 0, 5000, 94, 384
0, 0, 0, 0, 5000, 92, 388
0, 0, 0, 0, 5000, 91, 389
0, 0, 0, 0, 5000, 91, 387
0, 0, 0, 0, 5000, 93, 364
0, 0, 0, 0, 5000, 95, 374
0, 0, 0, 0, 5000, 96, 374
0, 0, 0, 0, 5000, 95, 372
0, 0, 0, 0, 5000, 94, 378
0, 0, 0, 0, 5000, 93, 383
0, 0, 0, 0, 5000, 92, 390
0, 0, 0, 0, 5000, 91, 390
0, 0, 0, 0, 5000, 93, 382
0, 0, 0, 0, 5000, 96, 374
0, 0, 0, 0, 5000, 97, 375
0, 0, 0, 0, 5000, 96, 379
0, 0, 0, 0, 5000, 96, 387
0, 0, 0, 0, 5000, 92, 395
0, 0, 0, 0, 5000, 94, 399
0, 0, 0, 0, 5000, 94, 399
-1, -0.00076699, -0.0318221, -1.32029, 5000, 95, 392
-1, -0.00076699, 0.00960622, 2.1174, 5000, 97, 390
-1, -0.00076699, 0.00110245, -0.825949, 5000, 98, 379
